xval,yval,time
0.0,0.0,0
16.17,43.12,17
26.95,21.56,126
48.51,-10.78,126
21.56,-37.73,129
-32.34,-37.73,129
-86.24,-37.73,130
-140.14,-37.73,130
-194.04,-37.73,143
-247.94,-37.73,147
-264.11,-0.0,150
-274.89,43.12,150
-318.01,53.9,158
-361.13,64.68,163
-382.69,97.02,163
-398.86,134.75,166
-398.86,188.65,168
-398.86,242.55,170
-415.03,280.28,171
-431.2,318.01,172
-458.15,344.96,172
-458.15,398.86,177
-506.66,404.25,181
-517.44,361.13,184
-565.95,355.74,201
-609.07,366.52,207
-641.41,388.08,207
-668.36,415.03,207
-700.7,436.59,207
-700.7,490.49,209
-668.36,512.05,230
-652.19,549.78,231
-609.07,539.0,232
-592.9,501.27,232
-571.34,468.93,232
-576.73,495.88,237
-598.29,528.22,237
-646.8,533.61,238
-689.92,544.39,243
-652.19,560.56,245
-598.29,560.56,246
-544.39,560.56,246
-522.83,592.9,249
-495.88,565.95,258
-468.93,539.0,258
-425.81,528.22,259
-425.81,506.66,281
-441.98,544.39,281
-468.93,571.34,281
-506.66,587.51,282
-522.83,614.46,295
-468.93,614.46,295
-415.03,614.46,296
-404.25,592.9,306
-409.64,544.39,335
-463.54,544.39,341
-517.44,544.39,341
-571.34,544.39,341
-539.0,544.39,407
-485.1,544.39,407
-431.2,544.39,407
-388.08,544.39,434
-441.98,544.39,434
-495.88,544.39,434
-549.78,544.39,434
-603.68,544.39,439
-619.85,582.12,445
-641.41,614.46,449
-652.19,657.58,469
-619.85,679.14,496
-565.95,679.14,496
-512.05,679.14,497
-533.61,679.14,527
-587.51,679.14,527
-641.41,679.14,527
-695.31,679.14,534
-733.04,662.97,556
-733.04,630.63,564
-738.43,679.14,565
-733.04,652.19,574
-716.87,614.46,575
-662.97,614.46,575
-630.63,592.9,577
-587.51,582.12,598
-571.34,619.85,600
-571.34,619.85,658
-544.39,592.9,658
-517.44,565.95,658
-490.49,539.0,658
-463.54,512.05,658
-431.2,490.49,673
-409.64,501.27,712
-409.64,555.17,718
-409.64,587.51,793
-388.08,555.17,793
-371.91,517.44,794
-371.91,463.54,816
-420.42,458.15,817
-474.32,458.15,817
-528.22,458.15,817
-539.0,501.27,880
-565.95,528.22,880
-609.07,539.0,946
-657.58,544.39,974
-646.8,587.51,978
-592.9,587.51,978
-539.0,587.51,979
-501.27,571.34,983
-479.71,539.0,983
-452.76,512.05,984
-425.81,485.1,986
-398.86,512.05,989
-398.86,565.95,989
-420.42,533.61,993
-441.98,501.27,993
-495.88,501.27,998
-549.78,501.27,998
